Stage,Title,Desc,Texture
1,평온의 초원,"부드러운 바람이 부는 광활한 초원으로, 끝없이 펼쳐진 초록의 물결이 평화롭고 조용한 분위기를 자아냅니다.",Stage1Texture
2,정령이 잠든 숲,"신비로운 고대의 숲으로, 무성한 나무와 자욱한 안개 속에 숨겨진 고대의 마법이 흐릅니다. 나무들은 시간의 흐름을 잊은 채 깊은 잠에 빠져 있으며, 그곳의 모든 생명체는 신비한 조용함에 싸여 있습니다.",Stage2Texture
3,영혼이 깃든 삼림,"나무와 식물 속 수많은 영혼들이 숨 쉬는 듯한 분위기를 자아냅니다. 신령한 존재들의 속삭임, 그 영혼들의 깊은 연결고리를 느낄 수 있습니다. ",Stage3Texture
4,적막한 평야,"비가 온 뒤의 깊은 숲 속을 보는 듯한, 무거운 침묵이 감도는 곳입니다.",Stage4Texture
5,갈라진 대지,"거대한 균열이 만든 지형으로, 메마른 땅과 불안정한 대지가 끝없이 펼쳐집니다.",Stage5Texture
6,부패의 땅,"썩어가는 식물과 썩은 나무들이 지배하는 오염된 지역으로, 끔찍한 악취와 함께 황량한 풍경이 펼쳐져 있습니다. 땅은 부식되어 갈라지고, 어두운 안개가 자욱합니다. ",Stage6Texture
7,엘프의 안식처,"자연과 조화롭게 어우러진 신비로운 숲속에 위치한 평화로운 공간입니다. 부드러운 햇살이 꽃밭을 비추며, 엘프들의 아름다운 전통과 마법이 깃든 장소입니다. ",Stage7Texture
8,수수께끼의 정원,"독특한 꽃들과 나무들이 빛과 그림자로 엮여 신비로운 분위기를 자아내며, 어느 방향으로 가든 예상치 못한 경이로움과 혼란을 안겨주는 정원입니다.",Stage8Texture
9,칠흑이 깃든 산,"깊은 어둠에 감싸인, 음침한 그림자가 지배하는 장소입니다. 산의 경사면과 바위들은 어두운 색조로 변색되어 있으며, 그곳의 공기에는 미스터리한 기운이 가득합니다. ",Stage9Texture
10,어둡게 물든 고원,"고요한 바람이 지배하는 곳입니다. 고원의 식물들은 잠들어 있으며, 기묘한 그림자와 공포가 감도는 분위기를 자아냅니다.",Stage10Texture
11,숨겨진 시설,더 이상 정령의 기운이 느껴지지 않는 구역입니다. 정체불명의 적이 목격됩니다.,Stage11Texture
12,세월이 스쳐간 유적,시간의 손길에 의해 부식되고 무너져내린 곳입니다. 무거운 공기에는 부정적인 에너지와 원한이 서려 있습니다.,Stage12Texture
13,추방당한 신들의 터전,"잃어버린 신성의 흔적이 곳곳에 남은, 신들의 원한과 슬픔이 서려 있는 터전입니다. 고대의 마법과 잊힌 권능이 여전히 감돌고 있습니다.",Stage13Texture
14,타락한 신전의 터,"부패와 몰락의 상징으로 변한 이곳에는, 과거의 비극이 고스란히 남아있습니다.",Stage14Texture
15,희생된 피의 묘지,"진홍빛의 피로 물든 고대 묘지입니다. 제물의 흔적이 곳곳에 남아 있어 잔인하게 희생된 이들을 떠오르게 하며, 공기를 가득 채운 피의 냄새는 끔찍한 기억을 떠오르게 합니다.",Stage15Texture
16,영겁의 저주 무덤,"저주로 인해 어둡고 음산한 분위기가 감도는 무덤 지대입니다. 지면으로 흐르는 기괴한 공기는, 소름 끼칠 정도로 불결합니다.",Stage16Texture
17,더럽혀진 망자들의 구역,현세를 떠나지 못한 죄인들의 망령이 머무르는 장소입니다.,Stage17Texture
18,겹친 세계의 입구,이세계와 통하는 비밀의 문입니다. 매우 강력한 마물들이 기다리고 있습니다.,Stage18Texture
19,뒤틀린 대성당,"먼 과거 신성한 장소였던 이곳은, 악에 의해 더럽혀져 축복의 빛이 꺼지고 말았습니다.",Stage19Texture
20,혼돈을 두른 놀이터,"악몽 같은 풍경이 펼쳐지는 곳으로, 죄의 자취가 만연해 있는 무질서한 무대입니다.",Stage20Texture
21,불쾌의 골짜기,정체를 알 수 없는 기분 나쁜 협곡입니다. 수십 년간 방문자가 없어 그 위험성을 제대로 파악하기 어렵습니다.,Stage21Texture
22,칼날 폭풍 절벽,격렬한 폭풍이 휩쓸고 지나간 지형입니다. 절벽의 가파른 경사와 첨예한 바위들은 자연의 무자비함을 고스란히 담고 있습니다.,Stage22Texture
23,고대의 잠든 균열,오랜 세월 동안 잠들어 있던 거대한 지각의 틈새입니다. 균열 주변에는 역사의 비밀들이 웅크리고 있습니다.,Stage23Texture
24,돌이킬 수 없는 동굴,"이 음침한 동굴은, 사람의 마음을 더욱 깊은 곳으로 현혹하고 있습니다. 이곳에선 그 누구의 되돌아온 흔적도 찾을 수 없습니다.",Stage24Texture
25,검은 혼령의 군집,"혼령들의 불길한 기운이 산재해 있는, 정신력을 흐트러트리는 장소입니다.",Stage25Texture
26,공허를 흡수한 둥지,"어둠과 공허가 뒤엉켜 있는 괴기한 둥지로, 이상하리만치 조용한 침묵과 불길한 에너지로 가득 차 있습니다. ",Stage26Texture
27,재의 기사들의 소굴,"무거운 영혼과 전쟁의 흔적이 널려 있는, 한때 기사들의 은거지였던 이곳은 이제 죽음의 냄새만이 감돌고 있습니다.",Stage27Texture
28,병든 사체의 굴,아무런 소리와 빛이 없는 깊숙한 구렁입니다. 오로지 죽음의 기운만이 침입자를 삼켜버릴 듯이 기다리고 있습니다.,Stage28Texture
29,심연으로의 계단,무엇으로 이어지는 계단인지 파악이 되질 않습니다. 여기서 더 나아간다면 이제는 한치 앞도 알 수 없게 됩니다.,Stage29Texture
30,지옥,"결국 끔찍한 고통과 무한한 타락이 지배하는 장소가 나타났습니다. 차마 눈 뜨고 볼 수 없는 광경이 끊임없이 펼쳐지며, 무시무시한 존재들을 꿈틀거리게 하는 악의 근원과 최후의 전투를 치러야 합니다.",Stage30Texture
